Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.82,43,94,2.2,10.92,2.115,522,35,1013
2,0.8,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.82,43,94,2.2,10.94,2.117,522,,
3,1.2,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.82,43,94,2.2,10.95,2.118,521,,
4,1.6,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.82,43,94,2.2,10.95,2.118,520,,
5,2,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.82,43,94,2.2,11,2.124,520,,
6,2.4,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.82,43,94,2.2,10.95,2.118,520,,
7,2.8,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.77,42,93,2.2,10.98,2.13,519,,
8,3.2,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.69,42,94,2.2,11.09,2.155,519,,
9,3.6,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.69,42,94,2.2,11.21,2.167,518,,
10,4,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.69,42,94,2.2,11.21,2.167,518,,
11,4.4,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.69,42,94,2.2,11.24,2.171,518,,
12,4.8,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.69,42,94,2.2,11.16,2.162,513,,
13,5.2,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.74,42,93,2.2,11.04,2.141,512,,
14,5.6,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.75,42,93,2.2,10.94,2.129,510,,
15,6,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.75,42,93,2.2,10.94,2.129,510,,
16,6.4,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.75,42,93,2.2,10.88,2.123,510,,
17,6.8,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.75,42,93,2.2,10.84,2.119,514,,
18,7.2,,,,0.7,3.4,0.02,0.08,0.01,0.02,6.76,42,93,2.2,10.82,2.115,515,,
19,7.6,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.77,42,93,2.2,10.8,2.111,518,,
20,8,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.77,42,93,2.2,10.8,2.111,518,,
21,8.4,,,,0.7,3.4,0.02,0.08,0.01,0.02,6.78,42,93,2.2,10.78,2.108,521,,
22,8.8,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.81,42,92,2.2,10.77,2.102,522,,
23,9.2,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.81,42,92,2.2,10.76,2.101,524,,
24,9.6,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.81,42,92,2.2,10.75,2.1,526,,
25,10,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.81,42,92,2.2,10.75,2.1,526,,
26,10.4,,,,0.6,3.4,0.01,0.08,0.01,0.02,6.83,42,92,2.2,10.74,2.095,527,,
27,10.8,,,,0.6,3.4,0.01,0.08,0,0,6.84,42,92,2.2,10.73,2.095,529,,
28,11.2,,,,0.6,3.4,0.01,0.08,0,0,6.87,42,92,2.2,10.72,2.089,529,,
29,11.6,,,,0.6,3.4,0.01,0.08,0,0,6.89,42,91,2.2,10.71,2.085,530,,
