Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,6.3,7.9,0.15,0.19,0.01,0.02,9.01,0,0,1.7,7.56,1.589,965,32,1010
2,0.8,,,,6.2,7.9,0.15,0.19,0.01,0.02,9.01,0,0,1.7,7.56,1.589,965,,
3,1.2,,,,6.6,7.9,0.16,0.19,0.01,0.02,9.01,0,0,1.7,7.56,1.589,965,,
4,1.6,,,,6.5,7.9,0.16,0.19,0.01,0.02,9.02,0,0,1.7,7.56,1.588,962,,
5,2,,,,6.8,7.9,0.16,0.19,0.01,0.02,9.03,0,0,1.7,7.55,1.587,963,,
6,2.4,,,,7.1,7.9,0.17,0.19,0.01,0.02,9.03,0,0,1.7,7.55,1.587,962,,
7,2.8,,,,7.4,7.9,0.18,0.19,0.01,0.02,9.03,0,0,1.7,7.55,1.587,963,,
8,3.2,,,,7.6,7.9,0.18,0.19,0.01,0.02,9.03,0,0,1.7,7.55,1.587,963,,
9,3.6,,,,7,7.9,0.17,0.19,0.02,0.03,9.03,0,0,1.7,7.55,1.586,960,,
10,4,,,,7,7.9,0.17,0.19,0.02,0.03,9.03,0,0,1.7,7.55,1.586,961,,
11,4.4,,,,7.6,7.9,0.18,0.19,0.02,0.03,9.03,0,0,1.7,7.56,1.586,960,,
12,4.8,,,,7.4,7.9,0.18,0.19,0.02,0.03,9.03,0,0,1.7,7.56,1.586,960,,
13,5.2,,,,7.5,7.9,0.18,0.19,0.02,0.03,9.03,0,0,1.7,7.56,1.586,960,,
14,5.6,,,,8.1,8.1,0.2,0.2,0.02,0.03,9.03,0,0,1.7,7.56,1.586,962,,
15,6,,,,8,8.1,0.19,0.2,0.02,0.03,9.03,0,0,1.7,7.55,1.586,963,,
16,6.4,,,,8.2,8.2,0.2,0.2,0.02,0.03,9.04,0,0,1.7,7.54,1.584,964,,
17,6.8,,,,8.2,8.2,0.2,0.2,0.02,0.03,9.05,0,0,1.7,7.52,1.582,965,,
18,7.2,,,,8.4,8.4,0.2,0.2,0.02,0.03,9.05,0,0,1.7,7.52,1.582,965,,
19,7.6,,,,8.7,8.7,0.21,0.21,0.02,0.03,9.05,0,0,1.7,7.5,1.58,965,,
20,8,,,,8.9,8.9,0.22,0.22,0.02,0.03,9.06,0,0,1.7,7.49,1.579,966,,
21,8.4,,,,8.9,8.9,0.22,0.22,0.02,0.03,9.06,0,0,1.7,7.49,1.579,970,,
22,8.8,,,,8.8,8.9,0.21,0.22,0.02,0.03,9.06,0,0,1.7,7.49,1.579,970,,
23,9.2,,,,8.7,8.9,0.21,0.22,0.02,0.03,9.06,0,0,1.7,7.48,1.578,970,,
24,9.6,,,,8.9,8.9,0.22,0.22,0.02,0.03,9.06,0,0,1.7,7.48,1.578,971,,
