Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,11.1,12.5,0.27,0.31,0.02,0.03,9.98,0,0,1.5,6.35,1.446,1011,32,1010
2,0.8,,,,11.6,12.5,0.29,0.31,0.02,0.03,9.98,0,0,1.5,6.36,1.446,1012,,
3,1.2,,,,11.6,12.5,0.29,0.31,0.03,0.04,9.98,0,0,1.5,6.37,1.446,1011,,
4,1.6,,,,11.8,12.5,0.29,0.31,0.03,0.04,9.98,0,0,1.5,6.38,1.447,1013,,
5,2,,,,11.9,12.5,0.29,0.31,0.03,0.04,9.98,0,0,1.5,6.39,1.447,1014,,
6,2.4,,,,13.3,13.3,0.33,0.33,0.03,0.04,9.98,0,0,1.5,6.39,1.447,1014,,
7,2.8,,,,12.3,13.3,0.31,0.33,0.03,0.04,9.98,0,0,1.5,6.4,1.448,1015,,
8,3.2,,,,11.7,13.3,0.29,0.33,0.03,0.04,9.98,0,0,1.5,6.41,1.449,1016,,
9,3.6,,,,11.4,13.3,0.28,0.33,0.03,0.04,9.98,0,0,1.5,6.42,1.45,1019,,
10,4,,,,11.2,13.3,0.28,0.33,0.03,0.04,9.98,0,0,1.5,6.42,1.45,1019,,
11,4.4,,,,10.8,13.3,0.27,0.33,0.03,0.04,9.98,0,0,1.5,6.42,1.45,1019,,
12,4.8,,,,10.6,13.3,0.26,0.33,0.03,0.04,9.98,0,0,1.5,6.43,1.45,1020,,
13,5.2,,,,11.1,13.3,0.27,0.33,0.03,0.04,9.97,0,0,1.5,6.43,1.451,1022,,
14,5.6,,,,12,13.3,0.3,0.33,0.03,0.05,9.96,0,0,1.5,6.43,1.451,1022,,
15,6,,,,12.4,13.3,0.31,0.33,0.03,0.05,9.95,0,0,1.5,6.42,1.451,1023,,
16,6.4,,,,11.9,13.3,0.29,0.33,0.03,0.05,9.95,0,0,1.5,6.42,1.451,1023,,
17,6.8,,,,12,13.3,0.3,0.33,0.03,0.05,9.95,0,0,1.5,6.43,1.452,1025,,
18,7.2,,,,13,13.3,0.32,0.33,0.03,0.05,9.95,0,0,1.5,6.45,1.453,1024,,
19,7.6,,,,13.9,13.9,0.35,0.35,0.03,0.05,9.94,0,0,1.5,6.46,1.454,1024,,
20,8,,,,14.2,14.2,0.36,0.36,0.03,0.05,9.94,0,0,1.5,6.46,1.454,1022,,
21,8.4,,,,13.8,14.2,0.35,0.36,0.03,0.05,9.94,0,0,1.5,6.46,1.454,1022,,
22,8.8,,,,13.3,14.2,0.33,0.36,0.03,0.05,9.94,0,0,1.5,6.45,1.453,1021,,
23,9.2,,,,12.6,14.2,0.31,0.36,0.03,0.05,9.94,0,0,1.5,6.44,1.453,1018,,
24,9.6,,,,12.5,14.2,0.31,0.36,0.03,0.05,9.94,0,0,1.5,6.42,1.451,1017,,
