Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,6.3,16,0.15,0.41,0,0,8.33,0,0,1.8,8.48,1.716,892,32,1010
2,0.8,,,,6.3,16,0.15,0.41,0,0,8.33,0,0,1.8,8.48,1.716,892,,
3,1.2,,,,5.9,16,0.14,0.41,0,0,8.33,0,0,1.8,8.47,1.715,896,,
4,1.6,,,,5.9,16,0.14,0.41,0,0,8.33,0,0,1.8,8.47,1.715,895,,
5,2,,,,5.5,16,0.13,0.41,0,0,8.33,0,0,1.8,8.46,1.714,897,,
6,2.4,,,,5.6,16,0.13,0.41,0,0,8.33,0,0,1.8,8.44,1.712,895,,
7,2.8,,,,5.7,16,0.14,0.41,0,0,8.33,0,0,1.8,8.44,1.712,895,,
8,3.2,,,,5.9,16,0.14,0.41,0,0,8.33,0,0,1.8,8.42,1.711,899,,
9,3.6,,,,5.4,16,0.13,0.41,0,0,8.34,0,0,1.8,8.4,1.708,900,,
10,4,,,,6,16,0.14,0.41,0,0,8.34,0,0,1.8,8.38,1.706,905,,
11,4.4,,,,6.3,16,0.15,0.41,0,0,8.35,0,0,1.8,8.36,1.704,902,,
12,4.8,,,,6.1,16,0.15,0.41,0,0,8.35,0,0,1.8,8.36,1.704,902,,
13,5.2,,,,6.3,16,0.15,0.41,0,0,8.35,0,0,1.8,8.35,1.703,906,,
14,5.6,,,,6.2,16,0.15,0.41,0,0,8.36,0,0,1.8,8.33,1.7,906,,
15,6,,,,6.2,16,0.15,0.41,0,0,8.36,0,0,1.8,8.32,1.7,902,,
16,6.4,,,,6.1,16,0.15,0.41,0,0,8.36,0,0,1.8,8.31,1.699,901,,
17,6.8,,,,6.2,16,0.15,0.41,0,0,8.36,0,0,1.8,8.31,1.699,901,,
18,7.2,,,,6.1,16,0.15,0.41,0.01,0.02,8.37,0,0,1.8,8.31,1.697,904,,
19,7.6,,,,6,16,0.14,0.41,0.01,0.02,8.38,0,0,1.8,8.3,1.695,907,,
20,8,,,,5.9,16,0.14,0.41,0.01,0.02,8.39,0,0,1.8,8.29,1.693,903,,
21,8.4,,,,5.9,16,0.14,0.41,0.01,0.02,8.39,0,0,1.8,8.29,1.693,903,,
22,8.8,,,,5.7,16,0.14,0.41,0.01,0.02,8.4,0,0,1.8,8.28,1.692,903,,
23,9.2,,,,6.2,16,0.15,0.41,0.01,0.02,8.41,0,0,1.8,8.26,1.689,904,,
24,9.6,,,,6.2,16,0.15,0.41,0.01,0.02,8.41,0,0,1.8,8.25,1.688,904,,
25,10,,,,6.3,16,0.15,0.41,0.01,0.02,8.41,0,0,1.8,8.24,1.687,905,,
26,10.4,,,,6.2,16,0.15,0.41,0.01,0.02,8.41,0,0,1.8,8.22,1.686,905,,
27,10.8,,,,6.8,16,0.16,0.41,0.01,0.02,8.41,0,0,1.8,8.22,1.686,905,,
28,11.2,,,,6.8,16,0.16,0.41,0.01,0.02,8.43,0,0,1.8,8.21,1.683,909,,
29,11.6,,,,6.7,16,0.16,0.41,0.01,0.02,8.43,0,0,1.8,8.2,1.682,908,,
30,12,,,,6.3,16,0.15,0.41,0.01,0.02,8.43,0,0,1.8,8.18,1.681,908,,
31,12.4,,,,6.3,16,0.15,0.41,0.01,0.02,8.44,0,0,1.8,8.16,1.678,909,,
32,12.8,,,,6.5,16,0.16,0.41,0.01,0.02,8.44,0,0,1.8,8.16,1.678,909,,
33,13.2,,,,6.6,16,0.16,0.41,0.01,0.02,8.44,0,0,1.8,8.15,1.678,909,,
34,13.6,,,,6.7,16,0.16,0.41,0.01,0.02,8.45,0,0,1.8,8.13,1.675,912,,
35,14,,,,6.2,16,0.15,0.41,0.01,0.02,8.46,0,0,1.8,8.12,1.673,912,,
36,14.4,,,,6.7,16,0.16,0.41,0.01,0.02,8.46,0,0,1.8,8.12,1.673,912,,
37,14.8,,,,7,16,0.17,0.41,0.01,0.02,8.51,0,0,1.8,8.1,1.668,912,,
38,15.2,,,,6.9,16,0.17,0.41,0.01,0.02,8.51,0,0,1.8,8.09,1.667,916,,
39,15.6,,,,6.6,16,0.16,0.41,0.01,0.02,8.59,0,0,1.7,8.08,1.66,915,,
40,16,,,,6.7,16,0.16,0.41,0.01,0.02,8.59,0,0,1.7,8.08,1.66,917,,
41,16.4,,,,6.7,16,0.16,0.41,0.01,0.02,8.59,0,0,1.7,8.08,1.66,917,,
42,16.8,,,,6.7,16,0.16,0.41,0.01,0.02,8.59,0,0,1.7,8.07,1.659,918,,
43,17.2,,,,6.4,16,0.15,0.41,0.01,0.02,8.59,0,0,1.7,8.06,1.658,918,,
44,17.6,,,,6.6,16,0.16,0.41,0.01,0.02,8.6,0,0,1.7,8.06,1.658,918,,
45,18,,,,6.4,16,0.15,0.41,0.01,0.02,8.61,0,0,1.7,8.06,1.657,920,,
46,18.4,,,,6.2,16,0.15,0.41,0.01,0.02,8.61,0,0,1.7,8.06,1.657,920,,
47,18.8,,,,6.5,16,0.16,0.41,0.01,0.02,8.61,0,0,1.7,8.06,1.657,920,,
48,19.2,,,,6.9,16,0.17,0.41,0.01,0.02,8.61,0,0,1.7,8.07,1.658,919,,
49,19.6,,,,6.9,16,0.17,0.41,0.01,0.02,8.61,0,0,1.7,8.08,1.658,921,,
50,20,,,,6.8,16,0.16,0.41,0.01,0.02,8.61,0,0,1.7,8.08,1.658,921,,
51,20.4,,,,6.7,16,0.16,0.41,0.01,0.02,8.61,0,0,1.7,8.08,1.658,921,,
52,20.8,,,,6.6,16,0.16,0.41,0.01,0.02,8.61,0,0,1.7,8.08,1.658,922,,
53,21.2,,,,6.5,16,0.16,0.41,0.01,0.02,8.61,0,0,1.7,8.08,1.658,924,,
54,21.6,,,,6.5,16,0.16,0.41,0.01,0.02,8.61,0,0,1.7,8.07,1.658,923,,
55,22,,,,6.6,16,0.16,0.41,0.01,0.02,8.61,0,0,1.7,8.06,1.657,923,,
56,22.4,,,,6.7,16,0.16,0.41,0.01,0.02,8.61,0,0,1.7,8.06,1.657,923,,
57,22.8,,,,6.4,16,0.15,0.41,0.01,0.02,8.61,0,0,1.7,8.06,1.657,922,,
58,23.2,,,,6.6,16,0.16,0.41,0.01,0.02,8.61,0,0,1.7,8.06,1.657,922,,
59,23.6,,,,6.8,16,0.16,0.41,0.01,0.02,8.62,0,0,1.7,8.05,1.655,923,,
