Number,Time [s],Speed [RPM],DieselTiming [°CA],Temperature [°C],N [%],NMax [%],k [1/m],kMax [1/m],CO [%vol],COcorrected [%vol],CO2 [%vol],HC [ppm],HCcorr [ppm],Dilution,O2 [%vol],Lambda,NO [ppm],AmbientTemperature [°C],AirPressure [mbar]
1,0.4,,,,2.7,14.6,0.06,0.37,0,0,7.68,13,25,2,9.57,1.874,686,35,1011
2,0.8,,,,2.8,14.6,0.07,0.37,0,0,7.68,13,25,2,9.56,1.873,687,,
3,1.2,,,,2.9,14.6,0.07,0.37,0,0,7.68,13,25,2,9.56,1.873,687,,
4,1.6,,,,3.2,14.6,0.08,0.37,0,0,7.68,13,25,2,9.55,1.872,688,,
5,2,,,,3,14.6,0.07,0.37,0,0,7.68,14,27,2,9.54,1.871,689,,
6,2.4,,,,2.7,14.6,0.06,0.37,0,0,7.68,14,27,2,9.55,1.872,690,,
7,2.8,,,,2.6,14.6,0.06,0.37,0,0,7.49,14,28,2,9.67,1.905,689,,
8,3.2,,,,2.7,14.6,0.06,0.37,0,0,7.49,14,28,2,9.67,1.905,689,,
9,3.6,,,,2.6,14.6,0.06,0.37,0,0,7.49,14,28,2,9.84,1.921,689,,
10,4,,,,2.5,14.6,0.06,0.37,0,0,7.5,15,30,2,9.91,1.927,686,,
11,4.4,,,,2.4,14.6,0.06,0.37,0,0,7.51,16,32,2,9.83,1.918,680,,
12,4.8,,,,2.5,14.6,0.06,0.37,0,0,7.52,17,34,2,9.68,1.902,674,,
13,5.2,,,,2.5,14.6,0.06,0.37,0,0,7.52,17,34,2,9.68,1.902,674,,
14,5.6,,,,2.4,14.6,0.06,0.37,0,0,7.6,18,36,2,9.55,1.881,668,,
15,6,,,,2.6,14.6,0.06,0.37,0,0,7.72,19,37,1.9,9.47,1.86,663,,
16,6.4,,,,2.6,14.6,0.06,0.37,0,0,7.72,20,39,1.9,9.42,1.855,656,,
17,6.8,,,,2.5,14.6,0.06,0.37,0,0,7.73,20,39,1.9,9.4,1.852,655,,
18,7.2,,,,2.5,14.6,0.06,0.37,0,0,7.73,20,39,1.9,9.4,1.852,655,,
19,7.6,,,,2.5,14.6,0.06,0.37,0,0,7.76,21,41,1.9,9.38,1.847,651,,
20,8,,,,2.6,14.6,0.06,0.37,0,0,7.77,21,41,1.9,9.36,1.844,649,,
21,8.4,,,,2.5,14.6,0.06,0.37,0,0,7.77,21,41,1.9,9.35,1.843,649,,
22,8.8,,,,2.6,14.6,0.06,0.37,0,0,7.77,21,41,1.9,9.34,1.842,647,,
23,9.2,,,,2.6,14.6,0.06,0.37,0,0,7.77,21,41,1.9,9.34,1.842,647,,
24,9.6,,,,2.6,14.6,0.06,0.37,0,0,7.78,22,42,1.9,9.32,1.839,644,,
25,10,,,,2.6,14.6,0.06,0.37,0,0,7.78,22,42,1.9,9.31,1.838,645,,
26,10.4,,,,2.5,14.6,0.06,0.37,0,0,7.82,22,42,1.9,9.3,1.833,644,,
27,10.8,,,,2.5,14.6,0.06,0.37,0,0,7.82,22,42,1.9,9.3,1.833,644,,
28,11.2,,,,2.5,14.6,0.06,0.37,0,0,7.82,22,42,1.9,9.3,1.833,644,,
29,11.6,,,,2.5,14.6,0.06,0.37,0,0,7.83,22,42,1.9,9.29,1.831,643,,
30,12,,,,2.5,14.6,0.06,0.37,0,0,7.84,22,42,1.9,9.3,1.831,645,,
31,12.4,,,,2.5,14.6,0.06,0.37,0,0,7.85,22,42,1.9,9.3,1.83,642,,
32,12.8,,,,2.5,14.6,0.06,0.37,0,0,7.85,23,44,1.9,9.3,1.83,645,,
33,13.2,,,,2.5,14.6,0.06,0.37,0,0,7.85,23,44,1.9,9.3,1.83,645,,
34,13.6,,,,2.6,14.6,0.06,0.37,0,0,7.85,23,44,1.9,9.3,1.83,643,,
35,14,,,,2.6,14.6,0.06,0.37,0,0,7.85,23,44,1.9,9.3,1.83,645,,
36,14.4,,,,2.6,14.6,0.06,0.37,0,0,7.85,23,44,1.9,9.29,1.829,645,,
37,14.8,,,,2.6,14.6,0.06,0.37,0,0,7.85,23,44,1.9,9.29,1.829,645,,
38,15.2,,,,2.5,14.6,0.06,0.37,0,0,7.86,24,46,1.9,9.29,1.828,646,,
39,15.6,,,,2.6,14.6,0.06,0.37,0,0,7.86,24,46,1.9,9.3,1.828,644,,
40,16,,,,2.6,14.6,0.06,0.37,0,0,7.86,24,46,1.9,9.29,1.828,645,,
41,16.4,,,,2.5,14.6,0.06,0.37,0,0,7.86,25,48,1.9,9.29,1.827,643,,
42,16.8,,,,2.5,14.6,0.06,0.37,0,0,7.86,25,48,1.9,9.29,1.827,643,,
43,17.2,,,,2.5,14.6,0.06,0.37,0,0,7.86,26,50,1.9,9.29,1.827,643,,
44,17.6,,,,2.5,14.6,0.06,0.37,0,0,7.86,26,50,1.9,9.29,1.827,641,,
45,18,,,,2.5,14.6,0.06,0.37,0,0,7.86,27,52,1.9,9.28,1.826,643,,
46,18.4,,,,2.5,14.6,0.06,0.37,0,0,7.86,27,52,1.9,9.28,1.826,643,,
47,18.8,,,,2.5,14.6,0.06,0.37,0,0,7.86,27,52,1.9,9.28,1.826,643,,
48,19.2,,,,2.5,14.6,0.06,0.37,0,0,7.86,27,52,1.9,9.28,1.826,643,,
49,19.6,,,,2.5,14.6,0.06,0.37,0,0,7.86,27,52,1.9,9.28,1.826,647,,
50,20,,,,2.5,14.6,0.06,0.37,0,0,7.86,27,52,1.9,9.28,1.826,645,,
51,20.4,,,,2.5,14.6,0.06,0.37,0,0,7.86,27,52,1.9,9.29,1.827,643,,
52,20.8,,,,2.4,14.6,0.06,0.37,0,0,7.86,27,52,1.9,9.29,1.827,643,,
53,21.2,,,,2.5,14.6,0.06,0.37,0,0,7.86,28,53,1.9,9.29,1.827,643,,
54,21.6,,,,2.5,14.6,0.06,0.37,0,0,7.86,28,53,1.9,9.3,1.828,648,,
55,22,,,,2.5,14.6,0.06,0.37,0,0,7.86,28,53,1.9,9.3,1.828,642,,
56,22.4,,,,2.5,14.6,0.06,0.37,0,0,7.86,28,53,1.9,9.31,1.829,646,,
57,22.8,,,,2.4,14.6,0.06,0.37,0,0,7.86,28,53,1.9,9.31,1.829,646,,
58,23.2,,,,2.4,14.6,0.06,0.37,0,0,7.86,28,53,1.9,9.32,1.83,641,,
59,23.6,,,,2.5,14.6,0.06,0.37,0,0,7.86,28,53,1.9,9.33,1.831,645,,
60,24,,,,2.6,14.6,0.06,0.37,0,0,7.84,29,55,1.9,9.34,1.833,642,,
61,24.4,,,,2.5,14.6,0.06,0.37,0,0,7.84,29,55,1.9,9.36,1.835,645,,
62,24.8,,,,2.5,14.6,0.06,0.37,0,0,7.84,29,55,1.9,9.36,1.835,645,,
63,25.2,,,,2.5,14.6,0.06,0.37,0,0,7.84,29,55,1.9,9.36,1.835,644,,
64,25.6,,,,2.4,14.6,0.06,0.37,0,0,7.84,29,55,1.9,9.37,1.836,644,,
65,26,,,,2.5,14.6,0.06,0.37,0,0,7.84,29,55,1.9,9.39,1.838,646,,
66,26.4,,,,2.5,14.6,0.06,0.37,0,0,7.84,30,57,1.9,9.4,1.839,643,,
67,26.8,,,,2.5,14.6,0.06,0.37,0,0,7.84,30,57,1.9,9.4,1.839,643,,
68,27.2,,,,2.5,14.6,0.06,0.37,0,0,7.83,30,57,1.9,9.41,1.841,640,,
69,27.6,,,,2.5,14.6,0.06,0.37,0,0,7.83,30,57,1.9,9.42,1.842,642,,
70,28,,,,2.5,14.6,0.06,0.37,0,0,7.83,30,57,1.9,9.43,1.842,638,,
71,28.4,,,,2.5,14.6,0.06,0.37,0,0,7.83,30,57,1.9,9.44,1.843,639,,
72,28.8,,,,2.5,14.6,0.06,0.37,0,0,7.83,30,57,1.9,9.44,1.843,639,,
73,29.2,,,,2.5,14.6,0.06,0.37,0,0,7.83,30,57,1.9,9.45,1.844,638,,
74,29.6,,,,2.5,14.6,0.06,0.37,0,0,7.83,30,57,1.9,9.45,1.844,638,,
75,30,,,,2.5,14.6,0.06,0.37,0,0,7.83,30,57,1.9,9.45,1.844,637,,
76,30.4,,,,2.5,14.6,0.06,0.37,0,0,7.83,31,59,1.9,9.46,1.845,631,,
77,30.8,,,,2.5,14.6,0.06,0.37,0,0,7.83,31,59,1.9,9.46,1.845,631,,
78,31.2,,,,2.5,14.6,0.06,0.37,0,0,7.82,31,59,1.9,9.46,1.846,635,,
79,31.6,,,,2.5,14.6,0.06,0.37,0,0,7.81,31,60,1.9,9.47,1.848,632,,
80,32,,,,2.5,14.6,0.06,0.37,0,0,7.81,31,60,1.9,9.48,1.849,633,,
81,32.4,,,,2.5,14.6,0.06,0.37,0,0,7.81,31,60,1.9,9.49,1.85,629,,
82,32.8,,,,2.4,14.6,0.06,0.37,0,0,7.81,31,60,1.9,9.49,1.85,629,,
83,33.2,,,,2.4,14.6,0.06,0.37,0,0,7.8,31,60,1.9,9.48,1.85,629,,
84,33.6,,,,2.5,14.6,0.06,0.37,0,0,7.8,31,60,1.9,9.47,1.849,630,,
85,34,,,,2.5,14.6,0.06,0.37,0,0,7.79,32,62,1.9,9.47,1.85,629,,
86,34.4,,,,2.5,14.6,0.06,0.37,0,0,7.79,32,62,1.9,9.47,1.85,629,,
87,34.8,,,,2.5,14.6,0.06,0.37,0,0,7.79,32,62,1.9,9.47,1.85,630,,
88,35.2,,,,2.5,14.6,0.06,0.37,0,0,7.79,32,62,1.9,9.47,1.85,630,,
89,35.6,,,,2.5,14.6,0.06,0.37,0,0,7.79,32,62,1.9,9.47,1.85,631,,
